subject,H.period,DD.period.t,UD.period.t,H.t,DD.t.i,UD.t.i,H.i,DD.i.e,UD.i.e,H.e,DD.e.five,UD.e.five,H.five,DD.five.Shift.r,UD.five.Shift.r,H.Shift.r,DD.Shift.r.o,UD.Shift.r.o,H.o,DD.o.a,UD.o.a,H.a,DD.a.n,UD.a.n,H.n,DD.n.l,UD.n.l,H.l,DD.l.Return,UD.l.Return,H.Return
s060,0.09791183471679688,0.11961722373962402,0.02170538902282715,0.11219358444213867,0.14003634452819824,0.02784276008605957,0.09931778907775879,0.09931778907775879,0.0,0.1049644947052002,0.18900132179260254,0.08403682708740234,0.09193968772888184,0.22493600845336914,0.1329963207244873,0.11295032501220703,0.11295032501220703,0.0,0.11234045028686523,0.11234045028686523,0.0,0.09841036796569824,0.09900140762329102,0.0005910396575927734,0.09075641632080078,0.18170833587646484,0.09095191955566406,0.09188389778137207,0.1409611701965332,0.04907727241516113,0.1329784393310547
s060,0.09102058410644531,0.10502338409423828,0.014002799987792969,0.12002754211425781,0.15503287315368652,0.03500533103942871,0.09101462364196777,0.09201455116271973,0.0009999275207519531,0.10502505302429199,0.23805451393127441,0.13302946090698242,0.10602402687072754,0.2750711441040039,0.16904711723327637,0.1190178394317627,0.1190178394317627,0.0,0.10502338409423828,0.12002706527709961,0.015003681182861328,0.11202549934387207,0.09102058410644531,-0.021004915237426758,0.08302807807922363,0.18304157257080078,0.10001349449157715,0.11102557182312012,0.18204212188720703,0.07101655006408691,0.1400318145751953
s060,0.09102082252502441,0.09201216697692871,0.0009913444519042969,0.09002923965454102,0.11103415489196777,0.021004915237426758,0.08501029014587402,0.06401419639587402,-0.02099609375,0.11202573776245117,0.14003205299377441,0.028006315231323242,0.07001614570617676,0.21104812622070312,0.14103198051452637,0.09902238845825195,0.10001349449157715,0.0009911060333251953,0.07602643966674805,0.07701754570007324,0.0009911060333251953,0.06902503967285156,0.07001590728759766,0.0009908676147460938,0.06201457977294922,0.13303923606872559,0.07102465629577637,0.07701778411865234,0.0980219841003418,0.021004199981689453,0.09131979942321777
s060,0.08501958847045898,0.08501958847045898,0.0,0.0980229377746582,0.11803579330444336,0.020012855529785156,0.0790095329284668,0.09202075004577637,0.01301121711730957,0.12602829933166504,0.16103625297546387,0.03500795364379883,0.0780179500579834,0.24605607986450195,0.16803812980651855,0.11302542686462402,0.11401653289794922,0.0009911060333251953,0.08356761932373047,0.08443212509155273,0.0008645057678222656,0.0844576358795166,0.0844576358795166,0.0,0.0766911506652832,0.16777610778808594,0.09108495712280273,0.07823061943054199,0.14821863174438477,0.06998801231384277,0.10470986366271973
s060,0.08401942253112793,0.08401942253112793,0.0,0.09882998466491699,0.11280059814453125,0.013970613479614258,0.08403801918029785,0.07003021240234375,-0.014007806777954102,0.10499143600463867,0.13338494300842285,0.02839350700378418,0.07080793380737305,0.19658184051513672,0.12577390670776367,0.10543251037597656,0.0918886661529541,-0.013543844223022461,0.09123706817626953,0.09123706817626953,0.0,0.09873628616333008,0.07675957679748535,-0.021976709365844727,0.07098841667175293,0.16197729110717773,0.0909888744354248,0.08443403244018555,0.11317253112792969,0.02873849868774414,0.0980525016784668
s060,0.12502741813659668,0.2520565986633301,0.1270291805267334,0.11902642250061035,0.2670600414276123,0.14803361892700195,0.09102082252502441,0.15503501892089844,0.06401419639587402,0.11202573776245117,0.23205351829528809,0.12002778053283691,0.08443784713745117,0.23943042755126953,0.15499258041381836,0.11214923858642578,0.18204903602600098,0.0698997974395752,0.13430070877075195,0.22524333000183105,0.0909426212310791,0.10592770576477051,0.12697625160217285,0.021048545837402344,0.0832221508026123,0.19006085395812988,0.10683870315551758,0.09085965156555176,0.1679689884185791,0.07710933685302734,0.14110970497131348
s060,0.12001204490661621,0.16219282150268555,0.042180776596069336,0.12682867050170898,0.14064741134643555,0.013818740844726562,0.11215734481811523,0.11215734481811523,0.0,0.12001919746398926,0.2108302116394043,0.09081101417541504,0.09147429466247559,0.23926615715026855,0.14779186248779297,0.13254117965698242,0.18298649787902832,0.0504453182220459,0.15393590927124023,0.15393590927124023,0.0,0.12004876136779785,0.12004876136779785,0.0,0.09077167510986328,0.21091246604919434,0.12014079093933105,0.09820246696472168,0.16103792190551758,0.0628354549407959,0.1191859245300293
s060,0.1128377914428711,0.13383746147155762,0.020999670028686523,0.14113974571228027,0.14113974571228027,0.0,0.09826326370239258,0.11927318572998047,0.02100992202758789,0.12691617012023926,0.18989324569702148,0.06297707557678223,0.09102439880371094,0.21776533126831055,0.1267409324645996,0.11930012702941895,0.11930012702941895,0.0,0.09884119033813477,0.11975669860839844,0.020915508270263672,0.12619543075561523,0.07702231407165527,-0.04917311668395996,0.09886741638183594,0.1971745491027832,0.09830713272094727,0.08404994010925293,0.10467672348022461,0.02062678337097168,0.1413106918334961
s060,0.09892106056213379,0.12705516815185547,0.02813410758972168,0.12605524063110352,0.14010262489318848,0.014047384262084961,0.08490657806396484,0.10611987113952637,0.021213293075561523,0.1260368824005127,0.18985438346862793,0.06381750106811523,0.08408904075622559,0.22500824928283691,0.14091920852661133,0.11205053329467773,0.11205053329467773,0.0,0.12013840675354004,0.12013840675354004,0.0,0.1255807876586914,0.11159372329711914,-0.013987064361572266,0.09800004959106445,0.22532963752746582,0.12732958793640137,0.0976707935333252,0.18285465240478516,0.08518385887145996,0.13297152519226074
s060,0.0919947624206543,0.1342620849609375,0.0422673225402832,0.139725923538208,0.139725923538208,0.0,0.07813501358032227,0.15503597259521484,0.07690095901489258,0.11303496360778809,0.2532010078430176,0.1401660442352295,0.08460354804992676,0.323840856552124,0.23923730850219727,0.11205101013183594,0.28074145317077637,0.16869044303894043,0.12619972229003906,0.12619972229003906,0.0,0.1058039665222168,0.12708091735839844,0.02127695083618164,0.07702851295471191,0.1815807819366455,0.1045522689819336,0.09947824478149414,0.18314337730407715,0.08366513252258301,0.14832639694213867
