subject,H.period,DD.period.t,UD.period.t,H.t,DD.t.i,UD.t.i,H.i,DD.i.e,UD.i.e,H.e,DD.e.five,UD.e.five,H.five,DD.five.Shift.r,UD.five.Shift.r,H.Shift.r,DD.Shift.r.o,UD.Shift.r.o,H.o,DD.o.a,UD.o.a,H.a,DD.a.n,UD.a.n,H.n,DD.n.l,UD.n.l,H.l,DD.l.Return,UD.l.Return,H.Return
IVAN,0.11902713775634766,0.309070348739624,0.19004321098327637,0.09102082252502441,0.2600593566894531,0.1690385341644287,0.10502386093139648,0.24605607986450195,0.14103221893310547,0.08401870727539062,0.47110748291015625,0.3870887756347656,0.08401870727539062,0.647146463394165,0.5631277561187744,0.07601666450500488,0.4917881488800049,0.415771484375,0.09802055358886719,0.2531707286834717,0.1551501750946045,0.13966703414916992,0.24575209617614746,0.10608506202697754,0.09102177619934082,0.29516100883483887,0.20413923263549805,0.09098124504089355,0.4358668327331543,0.34488558769226074,0.09813594818115234
IVAN,0.09777522087097168,0.14663243293762207,0.04885721206665039,0.09209012985229492,0.22516489028930664,0.13307476043701172,0.10618066787719727,0.18303585052490234,0.07685518264770508,0.11304593086242676,0.2530045509338379,0.13995862007141113,0.08411335945129395,0.5061054229736328,0.42199206352233887,0.06371784210205078,0.47102975845336914,0.40731191635131836,0.07815861701965332,0.1336984634399414,0.055539846420288086,0.1613163948059082,0.3932628631591797,0.23194646835327148,0.08508849143981934,0.20342063903808594,0.1183321475982666,0.1063082218170166,0.31768298149108887,0.21137475967407227,0.11885643005371094
IVAN,0.07099056243896484,0.23895597457885742,0.16796541213989258,0.06312203407287598,0.1830132007598877,0.11989116668701172,0.09095573425292969,0.17599248886108398,0.0850367546081543,0.09788894653320312,0.2950730323791504,0.19718408584594727,0.09083938598632812,0.491649866104126,0.40081048011779785,0.06996011734008789,0.4854764938354492,0.41551637649536133,0.09069228172302246,0.14752602577209473,0.056833744049072266,0.14716625213623047,0.17516589164733887,0.0279996395111084,0.09917926788330078,0.3233768939971924,0.2241976261138916,0.07065391540527344,0.9427189826965332,0.8720650672912598,0.07691812515258789
IVAN,0.09810209274291992,0.17521309852600098,0.07711100578308105,0.09903740882873535,0.22500371932983398,0.12596631050109863,0.09882140159606934,0.1830132007598877,0.08419179916381836,0.08407950401306152,0.2668585777282715,0.18277907371520996,0.09224104881286621,0.5201694965362549,0.42792844772338867,0.07084202766418457,0.4779326915740967,0.4070906639099121,0.07790875434875488,0.14110636711120605,0.06319761276245117,0.12581253051757812,0.1757063865661621,0.049893856048583984,0.09113335609436035,0.5902581214904785,0.49912476539611816,0.06283807754516602,0.2530405521392822,0.1902024745941162,0.09878683090209961
IVAN,0.10582280158996582,0.24686050415039062,0.1410377025604248,0.09798026084899902,0.22379803657531738,0.12581777572631836,0.10619401931762695,0.14817547798156738,0.04198145866394043,0.09782171249389648,0.31609368324279785,0.21827197074890137,0.08502936363220215,0.35186266899108887,0.2668333053588867,0.0768578052520752,0.4571516513824463,0.3802938461303711,0.08371853828430176,0.17421221733093262,0.09049367904663086,0.12083792686462402,0.1766824722290039,0.05584454536437988,0.09900331497192383,0.2600085735321045,0.16100525856018066,0.0708315372467041,0.2668161392211914,0.1959846019744873,0.1130528450012207
IVAN,0.09920835494995117,0.19730019569396973,0.09809184074401855,0.09769654273986816,0.1689591407775879,0.07126259803771973,0.09808611869812012,0.16106247901916504,0.06297636032104492,0.09203004837036133,0.28162693977355957,0.18959689140319824,0.08423876762390137,0.44936132431030273,0.36512255668640137,0.0640413761138916,0.4498627185821533,0.3858213424682617,0.08498668670654297,0.18303966522216797,0.098052978515625,0.14100193977355957,0.16205906867980957,0.02105712890625,0.09124088287353516,0.2944152355194092,0.20317435264587402,0.09149670600891113,0.4436056613922119,0.3521089553833008,0.09716629981994629
IVAN,0.0981285572052002,0.19695353507995605,0.09882497787475586,0.07706212997436523,0.16085433959960938,0.08379220962524414,0.09901881217956543,0.16240501403808594,0.06338620185852051,0.09097552299499512,0.29463720321655273,0.20366168022155762,0.07798194885253906,0.4642500877380371,0.38626813888549805,0.06982588768005371,0.4639244079589844,0.39409852027893066,0.07701945304870605,0.17590785026550293,0.09888839721679688,0.1262650489807129,0.22512149810791016,0.09885644912719727,0.08378410339355469,0.2947835922241211,0.2109994888305664,0.08432865142822266,0.5130038261413574,0.42867517471313477,0.08420467376708984
IVAN,0.09189748764038086,0.17566657066345215,0.08376908302307129,0.09125113487243652,0.15442705154418945,0.06317591667175293,0.08472323417663574,0.13354730606079102,0.04882407188415527,0.10618090629577637,0.2813074588775635,0.1751265525817871,0.07805633544921875,0.36609578132629395,0.2880394458770752,0.07688784599304199,0.4567413330078125,0.3798534870147705,0.08423662185668945,0.1900498867034912,0.10581326484680176,0.1190183162689209,0.15383434295654297,0.03481602668762207,0.0852971076965332,0.2603428363800049,0.17504572868347168,0.08498239517211914,0.3238213062286377,0.23883891105651855,0.10483169555664062
IVAN,0.09881424903869629,0.15467309951782227,0.05585885047912598,0.08526062965393066,0.14812612533569336,0.0628654956817627,0.09088349342346191,0.14780116081237793,0.056917667388916016,0.08423447608947754,0.30930018424987793,0.2250657081604004,0.06973624229431152,0.37859034538269043,0.3088541030883789,0.07118058204650879,0.485060453414917,0.4138798713684082,0.07831645011901855,0.21137785911560059,0.13306140899658203,0.11272668838500977,0.15469121932983398,0.04196453094482422,0.07689619064331055,0.28803014755249023,0.2111339569091797,0.08402323722839355,0.24617600440979004,0.16215276718139648,0.10608220100402832
IVAN,0.0921013355255127,0.23191165924072266,0.13981032371520996,0.07722949981689453,0.1759803295135498,0.09875082969665527,0.07699394226074219,0.15518832206726074,0.07819437980651855,0.0840144157409668,0.2669377326965332,0.1829233169555664,0.08421683311462402,0.3301844596862793,0.24596762657165527,0.07006716728210449,0.4640023708343506,0.3939352035522461,0.09102582931518555,0.2599060535430908,0.16888022422790527,0.10479998588562012,0.16909050941467285,0.06429052352905273,0.08387160301208496,0.2809593677520752,0.19708776473999023,0.06993484497070312,0.3650941848754883,0.29515933990478516,0.07787942886352539
