subject,H.period,DD.period.t,UD.period.t,H.t,DD.t.i,UD.t.i,H.i,DD.i.e,UD.i.e,H.e,DD.e.five,UD.e.five,H.five,DD.five.Shift.r,UD.five.Shift.r,H.Shift.r,DD.Shift.r.o,UD.Shift.r.o,H.o,DD.o.a,UD.o.a,H.a,DD.a.n,UD.a.n,H.n,DD.n.l,UD.n.l,H.l,DD.l.Return,UD.l.Return,H.Return
luka,0.08578991889953613,0.3271498680114746,0.24135994911193848,0.09280657768249512,0.13066434860229492,0.037857770919799805,0.0767519474029541,0.23333215713500977,0.15658020973205566,0.08290338516235352,0.49671196937561035,0.41380858421325684,0.07080340385437012,0.39704155921936035,0.32623815536499023,0.0628213882446289,0.4423220157623291,0.3795006275177002,0.10472965240478516,0.18749308586120605,0.0827634334564209,0.1216742992401123,0.14362168312072754,0.021947383880615234,0.08775997161865234,0.19547581672668457,0.10771584510803223,0.07628965377807617,0.5426037311553955,0.46631407737731934,0.07978105545043945
luka,0.06951594352722168,0.5562198162078857,0.48670387268066406,0.09673261642456055,0.1286461353302002,0.03191351890563965,0.06781888008117676,0.21442604064941406,0.1466071605682373,0.10272622108459473,0.42949795722961426,0.32677173614501953,0.06783771514892578,0.449021577835083,0.3811838626861572,0.06182980537414551,0.46974730491638184,0.40791749954223633,0.0917501449584961,0.16755080223083496,0.07580065727233887,0.11469864845275879,0.19747257232666016,0.08277392387390137,0.09075498580932617,0.24305033683776855,0.15229535102844238,0.07188558578491211,0.29941439628601074,0.22752881050109863,0.07269430160522461
luka,0.06681251525878906,1.1850666999816895,1.1182541847229004,0.0841512680053711,0.13177132606506348,0.04762005805969238,0.06980609893798828,0.21982073783874512,0.15001463890075684,0.07678985595703125,0.5164692401885986,0.4396793842315674,0.06988763809204102,0.5615015029907227,0.49161386489868164,0.06283259391784668,0.44879937171936035,0.38596677780151367,0.07779049873352051,0.20444941520690918,0.12665891647338867,0.11768937110900879,0.20450925827026367,0.08681988716125488,0.08272671699523926,0.2796201705932617,0.19689345359802246,0.0818641185760498,0.3583221435546875,0.2764580249786377,0.10572504997253418
luka,0.07291126251220703,0.5834352970123291,0.5105240345001221,0.0887746810913086,0.2131643295288086,0.1243896484375,0.06681156158447266,0.293271541595459,0.22645998001098633,0.07814407348632812,0.43009185791015625,0.3519477844238281,0.07729768753051758,0.7983782291412354,0.7210805416107178,0.06695008277893066,0.5292446613311768,0.4622945785522461,0.09278416633605957,0.1587975025177002,0.06601333618164062,0.1121211051940918,0.1790158748626709,0.0668947696685791,0.08274006843566895,0.23031878471374512,0.14757871627807617,0.08181357383728027,0.34810638427734375,0.2662928104400635,0.038849830627441406
luka,0.0876619815826416,0.5444488525390625,0.4567868709564209,0.10171794891357422,0.10872387886047363,0.007005929946899414,0.0837547779083252,0.19645261764526367,0.11269783973693848,0.10145378112792969,0.4236257076263428,0.3221719264984131,0.08155202865600586,0.7672369480133057,0.6856849193572998,0.09268426895141602,0.8077743053436279,0.7150900363922119,0.08178520202636719,0.12170624732971191,0.03992104530334473,0.11868810653686523,0.22043108940124512,0.10174298286437988,0.08874273300170898,0.3571438789367676,0.2684011459350586,0.0856482982635498,0.48159050941467285,0.39594221115112305,0.10870742797851562
luka,0.07678794860839844,0.5977637767791748,0.5209758281707764,0.08773207664489746,0.1784970760345459,0.09076499938964844,0.07582306861877441,0.18250441551208496,0.10668134689331055,0.08078360557556152,0.7412745952606201,0.6604909896850586,0.0827789306640625,0.9881787300109863,0.9053997993469238,0.09275674819946289,0.38996148109436035,0.29720473289489746,0.07180142402648926,0.1891016960144043,0.11730027198791504,0.1177217960357666,0.17952680587768555,0.061805009841918945,0.09948205947875977,0.2637782096862793,0.16429615020751953,0.07879304885864258,0.4019191265106201,0.32312607765197754,0.08488702774047852
luka,0.07590389251708984,0.49064087867736816,0.4147369861602783,0.08477258682250977,0.12367415428161621,0.038901567459106445,0.08586788177490234,0.19565987586975098,0.10979199409484863,0.08376765251159668,0.47077083587646484,0.38700318336486816,0.07378840446472168,0.9084267616271973,0.8346383571624756,0.08273863792419434,0.5694992542266846,0.48676061630249023,0.0815889835357666,0.14541840553283691,0.06382942199707031,0.12148928642272949,0.21320199966430664,0.09171271324157715,0.09254837036132812,0.28702640533447266,0.19447803497314453,0.08481192588806152,0.668264627456665,0.5834527015686035,0.07977151870727539
luka,0.09770798683166504,0.46409106254577637,0.36638307571411133,0.09740066528320312,0.12524795532226562,0.0278472900390625,0.08209943771362305,0.22925877571105957,0.14715933799743652,0.07684493064880371,0.5335619449615479,0.45671701431274414,0.07776045799255371,0.6054704189300537,0.5277099609375,0.0757899284362793,0.6391196250915527,0.5633296966552734,0.0753026008605957,0.15209555625915527,0.07679295539855957,0.118255615234375,0.19600629806518555,0.07775068283081055,0.08676266670227051,0.41388487815856934,0.32712221145629883,0.08178114891052246,0.7274680137634277,0.6456868648529053,0.09185576438903809
luka,0.08179116249084473,0.558521032333374,0.4767298698425293,0.09771609306335449,0.1366128921508789,0.038896799087524414,0.08487820625305176,0.16167068481445312,0.07679247856140137,0.09057474136352539,0.6052632331848145,0.5146884918212891,0.07681941986083984,1.022357702255249,0.9455382823944092,0.08777141571044922,0.4586524963378906,0.3708810806274414,0.08776354789733887,0.16834211349487305,0.08057856559753418,0.11986398696899414,0.19665288925170898,0.07678890228271484,0.08182334899902344,0.23087668418884277,0.14905333518981934,0.07579231262207031,0.36320066452026367,0.28740835189819336,0.09158039093017578
luka,0.08687257766723633,0.6844332218170166,0.5975606441497803,0.09673953056335449,0.1356363296508789,0.038896799087524414,0.06993579864501953,0.1934831142425537,0.12354731559753418,0.0967404842376709,1.0202620029449463,0.9235215187072754,0.06894874572753906,0.7597296237945557,0.6907808780670166,0.0924832820892334,0.5282077789306641,0.43572449684143066,0.09483695030212402,0.15060067176818848,0.05576372146606445,0.09774112701416016,0.14760661125183105,0.0498654842376709,0.0798802375793457,0.211578369140625,0.1316981315612793,0.08462643623352051,0.3698728084564209,0.2852463722229004,0.07174396514892578
